two_words,cnt_in_true,cnt_in_fake,freq_true,freq_fake,total_cnt
"('of', 'the')",2522,1816,0.023506603659275416,0.03596466906959243,4338
"('not', 'a')",4165,57,0.038820382331832715,0.0011288469917217886,4222
"('in', 'the')",1600,2032,0.014912992012228654,0.040242405038222365,3632
"('hes', 'not')",3240,22,0.030198808824763022,0.00043569533013823424,3262
"('illegal', 'alien')",3174,1,0.029583647904258593,1.9804333188101555e-05,3175
"('charged', 'with')",3026,33,0.02820419614312744,0.0006535429952073513,3059
"('this', 'is')",1158,1875,0.010793277968850488,0.03713312472769042,3033
"('to', 'miss')",3010,1,0.028055066223005153,1.9804333188101555e-05,3011
"('super', 'bowl')",2945,1,0.027449225922508366,1.9804333188101555e-05,2946
"('donald', 'trump')",2489,414,0.0231990231990232,0.008198993939874045,2903
"('fake', 'news')",2786,65,0.025967247341293142,0.0012872816572266012,2851
"('child', 'porn')",2631,195,0.024522551240108492,0.0038618449716798036,2826
"('trump', 'administration')",1589,1162,0.014810465192144582,0.023012635164574007,2751
"('surrounded', 'by')",2688,9,0.02505382658054414,0.000178238998692914,2697
"('walls', 'and')",2661,1,0.02480216984033778,1.9804333188101555e-05,2662
"('anti', 'gun')",2654,1,0.02473692550028428,1.9804333188101555e-05,2655
"('armed', 'guards')",2653,1,0.024727604880276637,1.9804333188101555e-05,2654
"('gun', 'hollywood')",2652,1,0.024718284260268994,1.9804333188101555e-05,2653
"('and', 'armed')",2652,1,0.024718284260268994,1.9804333188101555e-05,2653
"('security', 'walls')",2652,1,0.024718284260268994,1.9804333188101555e-05,2653
"('hollywood', 'surrounded')",2651,1,0.02470896364026135,1.9804333188101555e-05,2652
"('by', 'security')",2651,1,0.02470896364026135,1.9804333188101555e-05,2652
"('golden', 'globes')",2650,1,0.02469964302025371,1.9804333188101555e-05,2651
"('globes', 'anti')",2650,1,0.02469964302025371,1.9804333188101555e-05,2651
"('school', 'worker')",2597,1,0.024205650159848633,1.9804333188101555e-05,2598
"('alien', 'school')",2596,1,0.02419632953984099,1.9804333188101555e-05,2597
"('california', 'illegal')",2595,1,0.024187008919833348,1.9804333188101555e-05,2596
"('worker', 'charged')",2595,1,0.024187008919833348,1.9804333188101555e-05,2596
"('porn', 'possession')",2595,1,0.024187008919833348,1.9804333188101555e-05,2596
"('with', 'child')",2595,1,0.024187008919833348,1.9804333188101555e-05,2596
"('mainstream', 'media')",2148,410,0.020020691776416966,0.008119776607121638,2558
"('of', 'fake')",2538,6,0.0236557335793977,0.00011882599912860934,2544
"('will', 'take')",2534,5,0.02361845109936713,9.902166594050779e-05,2539
"('buildthewall', 'deportthemall')",2439,1,0.022732992198641052,1.9804333188101555e-05,2440
"('the', 'real')",2297,12,0.02140946415755576,0.0002376519982572187,2309
"('i', 'will')",2226,69,0.020747700137013114,0.0013664989899790075,2295
"('covington', 'catholic')",2290,1,0.02134421981750226,1.9804333188101555e-05,2291
"('who', 'the')",2283,5,0.02127897547744876,9.902166594050779e-05,2288
"('away', 'with')",2229,54,0.02077566199703604,0.001069433992157484,2283
"('target', 'of')",2275,5,0.021204410517387615,9.902166594050779e-05,2280
"('truly', 'is')",2275,4,0.021204410517387615,7.921733275240622e-05,2279
"('real', 'target')",2275,1,0.021204410517387615,1.9804333188101555e-05,2276
"('news', 'truly')",2275,1,0.021204410517387615,1.9804333188101555e-05,2276
"('shows', 'who')",2275,1,0.021204410517387615,1.9804333188101555e-05,2276
"('hoax', 'shows')",2275,1,0.021204410517387615,1.9804333188101555e-05,2276
"('catholic', 'hoax')",2275,1,0.021204410517387615,1.9804333188101555e-05,2276
"('trump', 'jr')",2275,1,0.021204410517387615,1.9804333188101555e-05,2276
"('jr', 'covington')",2274,1,0.021195089897379973,1.9804333188101555e-05,2275
