word,cnt_in_true,cnt_in_fake,freq_true,freq_fake,total_cnt
trump,8904,12574,0.08299080054805245,0.24901968550718898,21478
us,4488,2998,0.041830942594301375,0.059373390897928466,7486
illegal,5838,418,0.0544137796046193,0.008278211272626452,6256
gun,5770,432,0.05377997744409958,0.008555471937259872,6202
new,3162,2900,0.029471800464166878,0.05743256624549451,6062
ukraine,1,5785,9.320620007642909e-06,0.1145680674931675,5786
president,2101,3607,0.01958262263605775,0.07143422980948232,5708
news,3255,2279,0.03033861812487767,0.04513407533568345,5534
one,4341,790,0.04046081145317786,0.01564542321860023,5131
says,2489,2456,0.0231990231990232,0.048639442309977424,4945
trumps,988,3717,0.009208772567551194,0.07361270646017348,4705
via,2830,1415,0.02637735462162943,0.028023131461163704,4245
california,3641,376,0.03393637744782783,0.007446429278726185,4017
media,3366,548,0.03137320694572603,0.010852774587079653,3914
security,2960,851,0.027589035222623008,0.016853487543074426,3811
google,3773,22,0.03516669928883669,0.00043569533013823424,3795
brought,2265,1516,0.02111120431731119,0.03002336911316196,3781
house,652,3111,0.006077044244983176,0.06161128054818394,3763
time,1935,1822,0.018035399714789027,0.036083495068721036,3757
breitbart,3547,1,0.033060239167109394,1.9804333188101555e-05,3548
border,3041,503,0.028344005443242084,0.009961579593615082,3544
like,1912,1550,0.01782102545461324,0.03069671644155741,3462
take,2810,612,0.02619094222147657,0.012120251911118153,3422
child,3051,322,0.028437211643318513,0.006376995286568701,3373
visa,2729,566,0.025435972000857496,0.01120925258446548,3295
charged,3207,45,0.029891228364510806,0.00089119499346457,3252
alien,3238,4,0.030180167584747737,7.921733275240622e-05,3242
times,2570,671,0.023953993419642276,0.013288707569216145,3241
american,1313,1919,0.01223797407003514,0.03800451538796689,3232
anti,2978,216,0.027756806382760582,0.004277735968629936,3194
fake,2975,177,0.02772884452273765,0.0035053669742939756,3152
administration,1598,1530,0.014894350772213367,0.030300629777795383,3128
miss,3085,40,0.028754112723578373,0.0007921733275240623,3125
real,2478,631,0.023096496378939128,0.012496534241692081,3109
